dist_family,rho,heterogeneity,cost_scenario,instances,drop_mean,drop_median,ratio_mean,ratio_median
lognormal,0.0,partial,hvhm,5,0.3492721793469017,0.3641535263554385,0.6507278206530984,0.6358464736445615
exponential,-0.5,partial,hvlm,5,0.3521969128905754,0.3359176403935479,0.6478030871094246,0.6640823596064521
normal,0.0,none,hvhm,5,0.35350519028055616,0.3381470162402531,0.6464948097194438,0.6618529837597469
lognormal,0.5,full,hvlm,5,0.36113623011465734,0.40021206453888936,0.6388637698853428,0.5997879354611106
lognormal,0.5,none,hvhm,5,0.36839900943720233,0.35511938061697323,0.6316009905627977,0.6448806193830268
logit,0.0,none,hvhm,5,0.37046993668151185,0.3129263548881005,0.6295300633184882,0.6870736451118995
exponential,-0.5,none,hvhm,5,0.3715981796911397,0.381139031260438,0.6284018203088604,0.618860968739562
exponential,0.5,none,hvhm,5,0.37968334029876394,0.4108963040631717,0.6203166597012361,0.5891036959368283
lognormal,-0.5,full,hvhm,5,0.38016325507375354,0.3564274118009597,0.6198367449262465,0.6435725881990403
exponential,0.5,none,hvlm,5,0.38370479734423046,0.3425836045249082,0.6162952026557695,0.6574163954750918
uniform,0.0,none,hvlm,5,0.3871397680576435,0.36559931567001447,0.6128602319423564,0.6344006843299855
exponential,-0.5,partial,hvhm,5,0.401736205077159,0.4641509682864019,0.598263794922841,0.5358490317135981
lognormal,-0.5,full,hvlm,5,0.4061152314373867,0.4489587568727348,0.5938847685626133,0.5510412431272652
exponential,-0.5,full,hvlm,5,0.40831642061103,0.37366036063666797,0.59168357938897,0.626339639363332
exponential,0.5,full,hvhm,5,0.4107472722275588,0.5157830851601208,0.5892527277724412,0.48421691483987916
exponential,-0.5,full,hvhm,5,0.4149250378250403,0.40522145872032045,0.5850749621749597,0.5947785412796796
exponential,0.0,partial,hvhm,5,0.41678379969892154,0.4124202293066528,0.5832162003010785,0.5875797706933472
exponential,0.0,none,hvhm,5,0.4351024072037653,0.4449315796262786,0.5648975927962347,0.5550684203737214
exponential,0.0,full,hvlm,5,0.4412383868882689,0.48649296374405404,0.5587616131117311,0.513507036255946
lognormal,0.0,full,hvhm,5,0.44552512213508483,0.4423352330005229,0.5544748778649151,0.5576647669994771
lognormal,0.5,full,hvhm,5,0.453326773274134,0.4702063992292408,0.546673226725866,0.5297936007707592
exponential,0.0,full,hvhm,5,0.46599888200285167,0.40912809019147733,0.5340011179971483,0.5908719098085227
exponential,0.5,full,hvlm,5,0.47009109515864866,0.4649368064137356,0.5299089048413513,0.5350631935862644
exponential,0.5,partial,hvlm,5,0.482877745326521,0.4954585979106103,0.517122254673479,0.5045414020893897
exponential,0.5,partial,hvhm,5,0.49795200398490785,0.48012560524671755,0.5020479960150921,0.5198743947532825
lognormal,0.0,full,hvlm,5,0.5068187654900181,0.49738837723566864,0.49318123450998197,0.5026116227643314
