instance_id,dist_family,rho,heterogeneity,cost_scenario,seed,status,revenue_in_sample,revenue_out_sample,ratio_out_in,drop
cpbsd_instance_001_N5_K50_uniform_rho0.0_partial_hvhm,uniform,0.0,partial,hvhm,20381306,OK,1.82458914227937,1.367562168462091,0.7495178705018832,0.25048212949811677
cpbsd_instance_001_N5_K50_uniform_rho0.0_partial_hvlm,uniform,0.0,partial,hvlm,20382306,OK,2.2506875526952435,1.2842267695123375,0.5705930918640618,0.4294069081359382
cpbsd_instance_001_N5_K50_uniform_rho0.0_partial_zero,uniform,0.0,partial,zero,20380306,OK,14.15058346799554,13.572759660338916,0.9591660789844113,0.04083392101558869
cpbsd_instance_001_N5_K50_uniform_rho0.5_full_hvhm,uniform,0.5,full,hvhm,20393306,OK,2.140210250429526,1.1355329231416398,0.5305707338396991,0.4694292661603009
cpbsd_instance_001_N5_K50_uniform_rho0.5_full_hvlm,uniform,0.5,full,hvlm,20394306,OK,1.2508456670700734,0.9867127780576495,0.7888365479722872,0.2111634520277128
cpbsd_instance_001_N5_K50_uniform_rho0.5_full_zero,uniform,0.5,full,zero,20392306,OK,23.46605155353692,22.761444591230497,0.9699733480641645,0.030026651935835535
cpbsd_instance_001_N5_K50_uniform_rho0.5_none_hvhm,uniform,0.5,none,hvhm,20387306,OK,1.449690123915891,0.8436654307470668,0.5819625979572549,0.4180374020427451
cpbsd_instance_001_N5_K50_uniform_rho0.5_none_hvlm,uniform,0.5,none,hvlm,20388306,OK,1.18429765392746,0.9880429850074653,0.8342860274449083,0.16571397255509168
cpbsd_instance_001_N5_K50_uniform_rho0.5_none_zero,uniform,0.5,none,zero,20386306,OK,3.317655581419927,2.6435219682561826,0.7968042201429416,0.2031957798570584
cpbsd_instance_001_N5_K50_uniform_rho0.5_partial_hvhm,uniform,0.5,partial,hvhm,20390306,OK,1.7934997471134477,1.2651658807332054,0.7054173733614568,0.2945826266385432
cpbsd_instance_001_N5_K50_uniform_rho0.5_partial_hvlm,uniform,0.5,partial,hvlm,20391306,OK,1.8775878291443953,1.3731036224850786,0.7313125922374524,0.2686874077625476
cpbsd_instance_001_N5_K50_uniform_rho0.5_partial_zero,uniform,0.5,partial,zero,20389306,OK,14.014498777308829,12.423486165890514,0.8864738128205943,0.11352618717940566
