bundle_id,bundle_binary,bundle_size,selected_segment_count,selected_customer_weight,avg_price,instance_count,customer_share,cumulative_customer_share
453,0111000101,5,1,0.000924,1.619612,1,0.000924,0.939587
556,1000101100,4,1,0.000902,1.480097,1,0.000902,0.940489
602,1001011010,5,1,0.000885,1.842200,1,0.000885,0.941374
573,1000111101,6,1,0.000883,2.061368,1,0.000883,0.942258
296,0100101000,3,2,0.000871,1.402100,2,0.000871,0.943129
726,1011010110,6,1,0.000866,2.083782,1,0.000866,0.943995
787,1100010011,5,1,0.000862,1.815187,1,0.000862,0.944857
923,1110011011,7,1,0.000851,2.124733,1,0.000851,0.945708
191,0010111111,7,1,0.000802,2.057042,1,0.000802,0.946510
215,0011010111,6,1,0.000789,1.775418,1,0.000789,0.947298
535,1000010111,5,1,0.000777,1.968730,1,0.000777,0.948075
847,1101001111,7,1,0.000774,2.177982,1,0.000774,0.948849
318,0100111110,6,2,0.000772,1.976551,2,0.000772,0.949622
206,0011001110,5,1,0.000771,1.839365,1,0.000771,0.950392
187,0010111011,6,1,0.000768,1.898240,1,0.000768,0.951160
971,1111001011,7,1,0.000763,2.025796,1,0.000763,0.951924
316,0100111100,5,1,0.000753,1.758174,1,0.000753,0.952677
181,0010110101,5,1,0.000750,1.830237,1,0.000750,0.953427
366,0101101110,6,1,0.000746,1.881566,1,0.000746,0.954173
900,1110000100,4,2,0.000727,1.609378,2,0.000727,0.954900
356,0101100100,4,1,0.000726,1.526797,1,0.000726,0.955626
292,0100100100,3,1,0.000725,1.274280,1,0.000725,0.956351
697,1010111001,6,1,0.000725,2.086594,1,0.000725,0.957076
427,0110101011,6,1,0.000724,1.977619,1,0.000724,0.957800
860,1101011100,6,1,0.000713,1.973686,1,0.000713,0.958513
742,1011100110,6,1,0.000701,1.658738,1,0.000701,0.959214
732,1011011100,6,1,0.000691,1.996641,1,0.000691,0.959905
857,1101011001,6,1,0.000687,1.908931,1,0.000687,0.960592
597,1001010101,5,1,0.000685,1.738936,1,0.000685,0.961277
506,0111111010,7,1,0.000684,1.898273,1,0.000684,0.961961
736,1011100000,4,1,0.000684,1.479067,1,0.000684,0.962645
719,1011001111,7,1,0.000684,2.221178,1,0.000684,0.963329
319,0100111111,7,2,0.000682,2.007312,2,0.000682,0.964011
589,1001001101,5,1,0.000680,1.830408,1,0.000680,0.964691
301,0100101101,5,1,0.000673,1.665408,1,0.000673,0.965364
631,1001110111,7,2,0.000665,2.145968,2,0.000665,0.966029
606,1001011110,6,1,0.000653,1.773007,1,0.000653,0.966682
394,0110001010,4,1,0.000652,1.521197,1,0.000652,0.967334
138,0010001010,3,2,0.000641,1.329809,2,0.000641,0.967976
412,0110011100,5,1,0.000640,1.746349,1,0.000640,0.968616
754,1011110010,6,1,0.000629,2.046077,1,0.000629,0.969245
438,0110110110,6,1,0.000625,1.852198,1,0.000625,0.969870
838,1101000110,5,1,0.000619,1.835481,1,0.000619,0.970489
924,1110011100,6,1,0.000611,1.951259,1,0.000611,0.971100
126,0001111110,6,1,0.000606,2.011482,1,0.000606,0.971706
695,1010110111,7,1,0.000601,2.002710,1,0.000601,0.972307
458,0111001010,5,1,0.000596,1.808091,1,0.000596,0.972903
515,1000000011,3,1,0.000591,1.257210,1,0.000591,0.973494
376,0101111000,5,1,0.000585,1.862387,1,0.000585,0.974080
150,0010010110,4,1,0.000572,1.588081,1,0.000572,0.974652
154,0010011010,4,1,0.000570,1.584459,1,0.000570,0.975222
27,0000011011,4,1,0.000565,1.617439,1,0.000565,0.975787
583,1001000111,5,1,0.000558,1.657755,1,0.000558,0.976345
1000,1111101000,6,1,0.000558,2.007455,1,0.000558,0.976903
777,1100001001,4,1,0.000546,1.633354,1,0.000546,0.977449
69,0001000101,3,1,0.000533,1.511522,1,0.000533,0.977982
335,0101001111,6,1,0.000529,1.854111,1,0.000529,0.978511
981,1111010101,7,2,0.000517,2.000529,2,0.000517,0.979028
279,0100010111,5,1,0.000512,1.804413,1,0.000512,0.979540
882,1101110010,6,1,0.000492,1.964734,1,0.000492,0.980032
559,1000101111,6,1,0.000490,2.000238,1,0.000490,0.980523
170,0010101010,4,1,0.000489,1.473253,1,0.000489,0.981012
347,0101011011,6,1,0.000474,1.840672,1,0.000474,0.981485
536,1000011000,3,1,0.000466,1.525272,1,0.000466,0.981951
877,1101101101,7,1,0.000464,2.075014,1,0.000464,0.982416
619,1001101011,6,1,0.000464,2.075298,1,0.000464,0.982880
98,0001100010,3,1,0.000459,1.492773,1,0.000459,0.983339
435,0110110011,6,1,0.000456,1.958892,1,0.000456,0.983795
586,1001001010,4,1,0.000449,1.616734,1,0.000449,0.984243
283,0100011011,5,1,0.000447,1.961368,1,0.000447,0.984691
570,1000111010,5,1,0.000433,1.848166,1,0.000433,0.985124
467,0111010011,6,1,0.000423,1.769661,1,0.000423,0.985547
12,0000001100,2,1,0.000422,1.221896,1,0.000422,0.985969
144,0010010000,2,1,0.000419,1.072268,1,0.000419,0.986388
122,0001111010,5,1,0.000415,1.918320,1,0.000415,0.986804
132,0010000100,2,1,0.000411,1.019418,1,0.000411,0.987215
384,0110000000,2,1,0.000409,1.145773,1,0.000409,0.987624
840,1101001000,4,1,0.000400,1.631917,1,0.000400,0.988025
111,0001101111,6,1,0.000388,1.949265,1,0.000388,0.988413
247,0011110111,7,1,0.000387,2.027177,1,0.000387,0.988800
617,1001101001,5,1,0.000385,1.720812,1,0.000385,0.989185
534,1000010110,4,1,0.000370,1.487031,1,0.000370,0.989555
518,1000000110,3,1,0.000366,1.511490,1,0.000366,0.989921
709,1011000101,5,1,0.000362,1.777825,1,0.000362,0.990283
514,1000000010,2,1,0.000359,1.244009,1,0.000359,0.990642
666,1010011010,5,1,0.000358,1.703744,1,0.000358,0.991000
295,0100100111,5,1,0.000350,1.798778,1,0.000350,0.991350
84,0001010100,3,1,0.000341,1.456955,1,0.000341,0.991691
136,0010001000,2,1,0.000338,1.182744,1,0.000338,0.992029
651,1010001011,5,1,0.000330,1.681283,1,0.000330,0.992359
854,1101010110,6,1,0.000329,1.970210,1,0.000329,0.992688
807,1100100111,6,1,0.000327,1.905690,1,0.000327,0.993015
468,0111010100,5,1,0.000326,1.821395,1,0.000326,0.993340
81,0001010001,3,1,0.000325,1.328006,1,0.000325,0.993666
730,1011011010,6,1,0.000321,1.905537,1,0.000321,0.993987
739,1011100011,6,1,0.000320,1.936705,1,0.000320,0.994307
595,1001010011,5,1,0.000310,1.996159,1,0.000310,0.994617
388,0110000100,3,1,0.000301,1.307537,1,0.000301,0.994919
939,1110101011,7,1,0.000301,2.082083,1,0.000301,0.995220
444,0110111100,6,1,0.000281,1.820915,1,0.000281,0.995500
186,0010111010,5,1,0.000275,1.919061,1,0.000275,0.995776
613,1001100101,5,1,0.000272,1.732870,1,0.000272,0.996047
577,1001000001,3,1,0.000243,1.639968,1,0.000243,0.996290
758,1011110110,7,1,0.000242,2.227261,1,0.000242,0.996532
605,1001011101,6,1,0.000231,1.896742,1,0.000231,0.996763
137,0010001001,3,1,0.000231,1.435362,1,0.000231,0.996994
26,0000011010,3,1,0.000223,1.379421,1,0.000223,0.997217
967,1111000111,7,1,0.000209,1.999063,1,0.000209,0.997426
158,0010011110,5,1,0.000204,1.961490,1,0.000204,0.997630
