sample,customer_id,bsp_purchased,bsp_size,bsp_price,bsp_value,bsp_cost,bsp_surplus,bsp_profit,bsp_bundle,bsp_items,bsp_bundle_in_fcp_menu,fcp_purchased,fcp_bundle_idx,fcp_size,fcp_price,fcp_value,fcp_cost,fcp_surplus,fcp_profit,fcp_bundle,fcp_items,same_purchase_decision,same_bundle,same_size,bsp_purchase_fcp_no_purchase,profit_gap_bsp_minus_fcp,surplus_gap_bsp_minus_fcp,fcp_size_support
in_sample,30,1,10,54.48899733449856,55.845384311235755,51.0,1.3563869767371912,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,1,0",1,1,36,10,55.22876648022058,55.845384311235755,51.0,0.6166178310151764,4.228766480220578,1111111111,"0,1,2,3,4,5,6,7,8,9",1,1,1,0,-0.7397691457220148,0.7397691457220148,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,31,1,10,54.48899733449856,57.087356717222576,51.0,2.598359382724013,3.4889973344985634,1111111111,"9,8,6,7,4,5,3,2,1,0",1,1,32,9,51.12435294800897,53.227190326627664,47.33333333333333,2.1028373786186947,3.7910196146756405,1110111111,"0,1,2,4,5,6,7,8,9",1,0,0,0,-0.3020222801770771,0.4955220041053181,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,32,1,6,45.037073206030065,45.383789189613836,42.06666666666666,0.34671598358377054,2.9704065393634025,0000111111,"9,8,6,7,4,5",0,1,9,5,34.39664238029779,34.39664238029779,30.755555555555553,0.0,3.6410868247422385,0100101011,"1,4,6,8,9",1,0,0,0,-0.6706802853788361,0.34671598358377054,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,33,1,9,53.56580450400532,53.56580450400679,50.199999999999996,1.4708234630234074e-12,3.3658045040053253,0111111111,"9,8,7,5,6,4,2,3,1",1,1,18,7,43.99606722531281,44.771507653305335,40.0,0.7754404279925282,3.9960672253128067,0110110111,"1,2,4,5,7,8,9",1,0,0,0,-0.6302627213074814,-0.7754404279910574,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,34,1,9,53.56580450400532,55.069008344702674,50.199999999999996,1.5032038406973527,3.3658045040053253,0111111111,"9,8,7,6,5,4,2,3,1",1,1,19,8,50.47990975988662,51.912550782242725,46.53333333333333,1.4326410223561084,3.9465764265532854,0110111111,"1,2,4,5,6,7,8,9",1,0,0,0,-0.5807719225479602,0.07056281834124434,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,35,1,10,54.48899733449856,56.04430566924699,51.0,1.5553083347484247,3.4889973344985634,1111111111,"9,8,7,6,4,5,3,2,1,0",1,1,35,9,49.68625748001767,50.901423103809066,45.42222222222222,1.2151656237913926,4.264035257795456,1111101111,"0,1,2,3,4,6,7,8,9",1,0,0,0,-0.7750379232968925,0.3401427109570321,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,36,1,6,45.037073206030065,47.1662488083441,42.06666666666666,2.129175602314035,2.9704065393634025,0000111111,"8,9,7,6,4,5",0,1,32,9,51.12435294800897,52.80774910957362,47.33333333333333,1.6833961615646515,3.7910196146756405,1110111111,"0,1,2,4,5,6,7,8,9",1,0,0,0,-0.820613075312238,0.4457794407493836,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,37,1,10,54.48899733449856,54.52114578465855,51.0,0.03214845015998691,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,1,0",1,1,33,6,29.994061399924785,29.994061399924764,26.77777777777778,-2.1316282072803006e-14,3.2162836221470066,1111000011,"0,1,2,3,8,9",1,0,0,0,0.27271371235155684,0.032148450160008224,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,38,1,9,53.56580450400532,54.16748960839049,50.199999999999996,0.6016851043851688,3.3658045040053253,0111111111,"9,8,7,5,6,4,3,2,1",1,1,3,6,43.36190215449638,43.755113596379005,40.15555555555555,0.39321144188262735,3.2063465989408257,0010011111,"2,5,6,7,8,9",1,0,0,0,0.15945790506449953,0.2084736625025414,"0,1,2,3,4,5,6,7,8,9,10"
in_sample,39,1,9,53.56580450400532,57.25729348848939,50.199999999999996,3.6914889844840673,3.3658045040053253,0111111111,"9,8,7,6,4,5,3,1,2",1,1,13,8,52.1222791605082,54.80507713471979,47.48888888888888,2.6827979742115886,4.633390271619319,0101111111,"1,3,4,5,6,7,8,9",1,0,0,0,-1.267585767613994,1.0086910102724786,"0,1,2,3,4,5,6,7,8,9,10"
