n,dist_family,rho,heterogeneity,cost_scenario,instances,status_counts,runtime_mean,drop_mean,drop_median,ratio_mean,ratio_median
5,logit,-0.5,full,hvlm,1,{'OPTIMAL': 1},31.135630130767822,0.15903881326172553,0.15903881326172553,0.8409611867382745,0.8409611867382745
5,logit,-0.5,full,zero,1,{'OPTIMAL': 1},0.5950930118560791,0.08816326530607521,0.08816326530607521,0.9118367346939248,0.9118367346939248
5,logit,-0.5,none,hvhm,1,{'TIME_LIMIT': 1},300.2774200439453,0.3428921801718282,0.3428921801718282,0.6571078198281718,0.6571078198281718
5,logit,-0.5,none,hvlm,1,{'OPTIMAL': 1},18.014145851135254,0.10200678569842891,0.10200678569842891,0.8979932143015711,0.8979932143015711
5,logit,-0.5,none,zero,1,{'OPTIMAL': 1},11.511719942092896,0.09465898431890896,0.09465898431890896,0.905341015681091,0.905341015681091
5,logit,-0.5,partial,hvhm,1,{'OPTIMAL': 1},148.08957600593567,0.09758461669353491,0.09758461669353491,0.9024153833064651,0.9024153833064651
5,logit,-0.5,partial,hvlm,1,{'OPTIMAL': 1},24.518434047698975,0.12463908136071888,0.12463908136071888,0.8753609186392811,0.8753609186392811
5,logit,-0.5,partial,zero,1,{'OPTIMAL': 1},1.2032990455627441,0.03789461000043559,0.03789461000043559,0.9621053899995644,0.9621053899995644
5,logit,0.0,full,hvhm,1,{'TIME_LIMIT': 1},300.08957290649414,0.19392139387150698,0.19392139387150698,0.806078606128493,0.806078606128493
5,logit,0.0,full,hvlm,1,{'OPTIMAL': 1},50.90693497657776,0.14683510470460903,0.14683510470460903,0.853164895295391,0.853164895295391
5,logit,0.0,full,zero,1,{'OPTIMAL': 1},1.1482939720153809,0.03881392561766106,0.03881392561766106,0.9611860743823389,0.9611860743823389
5,logit,0.0,none,hvhm,1,{'OPTIMAL': 1},203.27574110031128,0.4016252082087176,0.4016252082087176,0.5983747917912824,0.5983747917912824
5,logit,0.0,none,hvlm,1,{'OPTIMAL': 1},61.895183086395264,0.3261328670988267,0.3261328670988267,0.6738671329011733,0.6738671329011733
5,logit,0.0,none,zero,1,{'OPTIMAL': 1},42.974663972854614,0.1281910114261604,0.1281910114261604,0.8718089885738396,0.8718089885738396
5,logit,0.0,partial,hvhm,1,{'OPTIMAL': 1},139.59641408920288,0.11066667899786908,0.11066667899786908,0.8893333210021309,0.8893333210021309
5,logit,0.0,partial,hvlm,1,{'OPTIMAL': 1},130.88082194328308,0.08548272337611185,0.08548272337611185,0.9145172766238882,0.9145172766238882
5,logit,0.0,partial,zero,1,{'OPTIMAL': 1},2.5766680240631104,0.07236905627632095,0.07236905627632095,0.927630943723679,0.927630943723679
5,logit,0.5,full,hvhm,1,{'TIME_LIMIT': 1},300.1909658908844,0.2270264562778882,0.2270264562778882,0.7729735437221118,0.7729735437221118
5,logit,0.5,full,hvlm,1,{'OPTIMAL': 1},33.94233798980713,0.20918539861916552,0.20918539861916552,0.7908146013808345,0.7908146013808345
5,logit,0.5,full,zero,1,{'OPTIMAL': 1},1.5503959655761719,0.02647922705047734,0.02647922705047734,0.9735207729495227,0.9735207729495227
5,logit,0.5,none,hvhm,1,{'TIME_LIMIT': 1},300.1819689273834,0.4415404234732737,0.4415404234732737,0.5584595765267263,0.5584595765267263
5,logit,0.5,none,hvlm,1,{'OPTIMAL': 1},31.881397008895874,0.13571587664315732,0.13571587664315732,0.8642841233568427,0.8642841233568427
5,logit,0.5,none,zero,1,{'OPTIMAL': 1},29.551840782165527,0.15642261796280932,0.15642261796280932,0.8435773820371907,0.8435773820371907
5,logit,0.5,partial,hvhm,1,{'TIME_LIMIT': 1},300.10457587242126,0.15235840951863766,0.15235840951863766,0.8476415904813623,0.8476415904813623
